gmap_id,last_three_ratings,predicted_three_ratings
0x80c2b9bf48e06975:0x81fc4577de9242f2,"[4.6, 4.0, 5.0]","[3.78, 3.78, 3.78]"
0x80c2b9c6f355bbaf:0xaa31f74ab8b51600,"[5.0, 5.0, 4.8]","[4.98, 4.98, 4.98]"
0x80c2b9cfce4f4f65:0x94d0d4ac562df1,"[4.0, 5.0, 5.0]","[4.92, 4.92, 4.92]"
0x80c2b9cff9a839a9:0x9d11f0d7c05967d1,"[4.0, 3.0, 4.0]","[3.18, 3.18, 3.18]"
0x80c2b9d9660b11fb:0x79ec5bc1d934f0cb,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2b9eadb7fd429:0xdf9b26ec86568793,"[4.0, 5.0, 5.0]","[4.77, 4.77, 4.77]"
0x80c2b9f097297d61:0x52336bffba9353ca,"[4.75, 4.0, 4.17]","[4.76, 4.76, 4.76]"
0x80c2b9fefb2eff5b:0xc1e640d1d746be6b,"[4.5, 3.0, 5.0]","[4.53, 4.53, 4.53]"
0x80c2ba2a741968d3:0x1558f9565d525570,"[4.5, 3.0, 5.0]","[3.41, 3.41, 3.41]"
0x80c2ba2a752f70f5:0x6a9269b538b6c380,"[5.0, 4.0, 5.0]","[4.91, 4.91, 4.91]"
0x80c2ba51f5308049:0x4547495f14f44f6e,"[2.0, 5.0, 3.75]","[4.25, 4.25, 4.25]"
0x80c2ba5b61bb2415:0x217207f872e3db5e,"[2.5, 5.0, 5.0]","[4.73, 4.73, 4.73]"
0x80c2ba5e9bf3bd39:0xc21abe901e4a639e,"[4.5, 3.5, 5.0]","[4.75, 4.75, 4.75]"
0x80c2ba66d1971179:0xfe3a93685475aa7b,"[1.0, 5.0, 5.0]","[4.23, 4.23, 4.23]"
0x80c2bb09f358bd87:0x6096a25d57ddb9a0,"[1.0, 5.0, 1.0]","[4.28, 4.28, 4.28]"
0x80c2bb0b724e808f:0x989d0eca3524d3df,"[5.0, 4.0, 2.0]","[4.2, 4.2, 4.2]"
0x80c2bb0e4fc46d15:0xc1b6165f95a0e8fe,"[3.0, 5.0, 5.0]","[4.16, 4.16, 4.16]"
0x80c2bb46e91a6f5f:0xb493f70a0eae1534,"[4.5, 5.0, 5.0]","[4.91, 4.91, 4.91]"
0x80c2bb5df7f0ba47:0x7dfc12e48f40ffd6,"[5.0, 5.0, 5.0]","[4.74, 4.74, 4.74]"
0x80c2bb5df7f0ba47:0xb0c3b18d3e1f815d,"[5.0, 5.0, 5.0]","[4.93, 4.93, 4.93]"
0x80c2bb60d9c99f61:0x3e6b2faef33293c,"[5.0, 5.0, 1.0]","[3.74, 3.74, 3.74]"
0x80c2bb70154175ad:0x6ef8bc5a8952b7,"[4.5, 5.0, 5.0]","[4.39, 4.39, 4.39]"
0x80c2bb747193d6ad:0xcd730c05aeb4fdf1,"[5.0, 5.0, 5.0]","[4.33, 4.33, 4.33]"
0x80c2bb79fb335baf:0x9a345a54dca54249,"[3.0, 3.0, 5.0]","[4.29, 4.29, 4.29]"
0x80c2bb8c7ef6c9f9:0xb6ad15e0e570bb45,"[1.0, 4.36, 5.0]","[3.89, 3.89, 3.89]"
0x80c2bb8c7ef6ca3f:0x70ca123e82002037,"[1.0, 5.0, 5.0]","[4.31, 4.31, 4.31]"
0x80c2bb8ccdb9dd89:0xeb5101c8db023bac,"[4.0, 5.0, 5.0]","[3.84, 3.84, 3.84]"
0x80c2bb98ef95166f:0x132007dcad709cca,"[5.0, 4.33, 5.0]","[4.78, 4.78, 4.78]"
0x80c2bb9c60b71fd5:0x257df43021838bbe,"[4.5, 5.0, 4.0]","[4.09, 4.09, 4.09]"
0x80c2bba2d107aac9:0x69c830a547e5a55b,"[5.0, 4.0, 1.0]","[4.51, 4.51, 4.51]"
0x80c2bba8a4cd318d:0xbe0e17ad68afe37,"[3.0, 5.0, 5.0]","[4.56, 4.56, 4.56]"
0x80c2bbbd293d9d45:0x1cfa352161758694,"[5.0, 5.0, 5.0]","[4.81, 4.81, 4.81]"
0x80c2bbcb0ab762d1:0x195cbcfabff92df1,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2bbd03da7bac3:0xd384ff9f4914014e,"[5.0, 4.0, 5.0]","[4.91, 4.91, 4.91]"
0x80c2bbd29f6d5329:0xbaf90cc2479ca7af,"[5.0, 4.0, 5.0]","[3.07, 3.07, 3.07]"
0x80c2bbd5af874c8d:0xfda7a222d53633e6,"[4.33, 5.0, 4.2]","[4.78, 4.78, 4.78]"
0x80c2bbeae7415bcf:0xe4a5550a81eca529,"[3.5, 5.0, 4.5]","[4.71, 4.71, 4.71]"
0x80c2bbf2ddf7df53:0x9e989b350bbb58ca,"[4.0, 5.0, 4.0]","[3.69, 3.69, 3.69]"
0x80c2bbf479396fcb:0x3922670dfb1f9585,"[5.0, 5.0, 5.0]","[4.67, 4.67, 4.67]"
0x80c2bc7f881104d7:0xe579e014d42b6e,"[4.5, 4.0, 5.0]","[4.74, 4.74, 4.74]"
0x80c2bc859d48da1b:0x3ae892e9cc86e160,"[5.0, 3.0, 5.0]","[4.82, 4.82, 4.82]"
0x80c2bc85cf62ba31:0x961aa40cef6f1473,"[5.0, 5.0, 5.0]","[4.23, 4.23, 4.23]"
0x80c2bc8785374da5:0x1756aac855d248f1,"[2.5, 4.0, 4.0]","[4.08, 4.08, 4.08]"
0x80c2bc87ec9e02c1:0x249cfc6df28d3d0c,"[4.5, 4.0, 5.0]","[4.61, 4.61, 4.61]"
0x80c2bc9300b2e793:0x83f929010dfae968,"[5.0, 5.0, 5.0]","[4.94, 4.94, 4.94]"
0x80c2bcbb695412cf:0x5b610bc0e2246465,"[5.0, 5.0, 5.0]","[4.74, 4.74, 4.74]"
0x80c2bcc9b579787d:0x60498f111a234837,"[5.0, 5.0, 5.0]","[4.93, 4.93, 4.93]"
0x80c2bd511287c7ed:0xf93f8e6d892bc83a,"[3.5, 5.0, 5.0]","[4.83, 4.83, 4.83]"
0x80c2bd51c065686d:0xd5f4643ed0aeab3f,"[5.0, 5.0, 5.0]","[3.63, 3.63, 3.63]"
0x80c2bd772770b9bb:0x376aa30699e4531c,"[5.0, 4.0, 5.0]","[4.18, 4.18, 4.18]"
0x80c2bd84f5a0868d:0xcac8e81918dec2c9,"[5.0, 4.0, 4.0]","[3.73, 3.73, 3.73]"
0x80c2bdfbe21d3f7b:0x8e20de855dd2b488,"[5.0, 5.0, 3.0]","[4.8, 4.8, 4.8]"
0x80c2bdfc9d6142c9:0x8bc02a95aa83683d,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2be45a4c0f241:0x67ee124cfe01cf77,"[3.5, 5.0, 4.0]","[4.71, 4.71, 4.71]"
0x80c2be53ade61065:0xef4bbf245ba9d4e7,"[5.0, 4.5, 5.0]","[4.79, 4.79, 4.79]"
0x80c2beab2d1c5039:0x123cec145b2f7878,"[5.0, 5.0, 5.0]","[4.38, 4.38, 4.38]"
0x80c2bead16143551:0x3a35c17c7676641a,"[1.0, 4.5, 4.0]","[3.82, 3.82, 3.82]"
0x80c2beb356c4121f:0xe2ffdf8a6ca75540,"[1.0, 5.0, 4.0]","[4.52, 4.52, 4.52]"
0x80c2beb3a0770227:0xd8e704c46bfb6b23,"[5.0, 5.0, 5.0]","[3.57, 3.57, 3.57]"
0x80c2beb4abaf4303:0xc64ef06c69f8d78c,"[4.0, 4.0, 4.75]","[4.8, 4.8, 4.8]"
0x80c2beba0b595555:0x72ade09cb63768ac,"[5.0, 5.0, 3.0]","[4.4, 4.4, 4.4]"
0x80c2bec227ee5a09:0x96f18651913b1bdb,"[5.0, 2.0, 5.0]","[4.53, 4.53, 4.53]"
0x80c2bec9e1a38f03:0x28bdb500fe1c373f,"[4.0, 3.0, 5.0]","[4.74, 4.74, 4.74]"
0x80c2bed2680107bd:0xac106a34b4661267,"[5.0, 4.5, 5.0]","[4.7, 4.7, 4.7]"
0x80c2bed37a93b93d:0xf950afd1b49e9f9d,"[5.0, 4.5, 4.0]","[4.31, 4.31, 4.31]"
0x80c2bed4c0875335:0x88562e8d30e3d33d,"[5.0, 3.0, 3.0]","[4.49, 4.49, 4.49]"
0x80c2bed550731fe1:0x8d11ba8c72a45627,"[4.0, 3.0, 1.0]","[3.75, 3.75, 3.75]"
0x80c2bed55303725f:0x24ac6a7e16f12618,"[4.0, 4.0, 4.5]","[4.71, 4.71, 4.71]"
0x80c2bf08f44507eb:0xd41914153817e395,"[4.0, 5.0, 4.5]","[3.63, 3.63, 3.63]"
0x80c2bf139337658d:0x9768af0b795da60a,"[4.25, 4.75, 5.0]","[4.37, 4.37, 4.37]"
0x80c2bf237d5ed209:0xbe233276cadf1332,"[4.0, 5.0, 4.5]","[4.87, 4.87, 4.87]"
0x80c2bf23c3bb14c7:0x8aa245e720ca1436,"[2.0, 4.0, 3.0]","[3.2, 3.2, 3.2]"
0x80c2bf2499700001:0x3ec231532c954ef3,"[5.0, 5.0, 5.0]","[4.73, 4.73, 4.73]"
0x80c2bf24a77089cd:0x65ab9ec8fe4682c1,"[3.5, 5.0, 5.0]","[4.78, 4.78, 4.78]"
0x80c2bf24ea30a31d:0x619866b5563406aa,"[5.0, 4.0, 5.0]","[4.77, 4.77, 4.77]"
0x80c2bf273f7cb3e3:0xb7c2d2064a101db3,"[5.0, 5.0, 5.0]","[3.98, 3.98, 3.98]"
0x80c2bf2975d86b07:0x3df5e14f7606a2c6,"[5.0, 2.0, 3.0]","[4.38, 4.38, 4.38]"
0x80c2bf2b92fd5e55:0xefc60a3475cb1b55,"[5.0, 5.0, 5.0]","[4.93, 4.93, 4.93]"
0x80c2bf33bb96852b:0x7d0df1f75e6fc83b,"[5.0, 4.0, 5.0]","[4.49, 4.49, 4.49]"
0x80c2bf37761a075f:0x689c5d43f3484e64,"[5.0, 5.0, 3.67]","[4.64, 4.64, 4.64]"
0x80c2bf396ae36d8d:0x984e67f73b25d1bb,"[4.5, 3.0, 5.0]","[4.75, 4.75, 4.75]"
0x80c2bf396e6cd98b:0x22bec7dc12bf858a,"[4.75, 4.0, 5.0]","[4.78, 4.78, 4.78]"
0x80c2bf39f8bb43b7:0x800631e5e6ca0964,"[5.0, 5.0, 4.0]","[4.66, 4.66, 4.66]"
0x80c2bf3a31f8b635:0x46aa9bb76e4bb33,"[4.0, 4.0, 5.0]","[4.51, 4.51, 4.51]"
0x80c2bf3a90ce288d:0x342aa4af97fee7c3,"[5.0, 5.0, 4.5]","[4.66, 4.66, 4.66]"
0x80c2bf3b5ebb2cb1:0xdfa9982e0edfc203,"[5.0, 4.0, 5.0]","[4.77, 4.77, 4.77]"
0x80c2bf3c1e27e649:0x95e3ea0b2548a276,"[4.0, 4.0, 5.0]","[3.98, 3.98, 3.98]"
0x80c2bf47991901d9:0xb5640ac896065b7f,"[4.0, 5.0, 5.0]","[4.72, 4.72, 4.72]"
0x80c2bf4c9edfe07d:0x330c3046186d9a43,"[3.5, 5.0, 4.0]","[4.56, 4.56, 4.56]"
0x80c2bf5011d32123:0xaefbcbe597c7df7d,"[3.0, 4.0, 5.0]","[2.14, 2.14, 2.14]"
0x80c2bf50c842c2a9:0xdf92dcdb84e13c63,"[5.0, 3.0, 5.0]","[4.16, 4.16, 4.16]"
0x80c2bf54c800c857:0x87e0b78fb0f8dd70,"[5.0, 4.0, 4.0]","[1.89, 1.89, 1.89]"
0x80c2bf85a38c5435:0xb86f855f54cd2180,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2bfa64c1938a3:0x4d94233c2045c9fa,"[4.0, 4.0, 5.0]","[4.61, 4.61, 4.61]"
0x80c2bfc3ec979be1:0x7127e89315c777ef,"[5.0, 4.67, 5.0]","[4.97, 4.97, 4.97]"
0x80c2bff9d5d9a927:0x5034594fee4cca53,"[2.0, 5.0, 4.0]","[4.28, 4.28, 4.28]"
0x80c2bffa322e6b43:0x18d7d726dc1428c,"[5.0, 5.0, 4.0]","[4.69, 4.69, 4.69]"
0x80c2c05ff6c6a289:0x19348be22960450f,"[5.0, 4.0, 5.0]","[4.84, 4.84, 4.84]"
0x80c2c08d27443bdf:0x6bfe0bf5f7122b14,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2c0b019715555:0x6f9a1e45b5924ae3,"[5.0, 5.0, 4.0]","[4.9, 4.9, 4.9]"
0x80c2c0b01c7463a3:0x526bfb376979506c,"[4.0, 5.0, 3.0]","[4.21, 4.21, 4.21]"
0x80c2c0b02f446e09:0x435763452187ad1c,"[5.0, 5.0, 5.0]","[4.96, 4.96, 4.96]"
0x80c2c0c975e58dcd:0x40c1316db074f7db,"[5.0, 4.5, 5.0]","[4.79, 4.79, 4.79]"
0x80c2c0cd55d59255:0xba3c180c372dfbb8,"[5.0, 5.0, 5.0]","[4.88, 4.88, 4.88]"
0x80c2c0dbb11fc56b:0xe5398bf68b2fe2dd,"[5.0, 5.0, 3.5]","[4.06, 4.06, 4.06]"
0x80c2c15b30391c39:0x8e09ba1abac69e5a,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2c167d11c4565:0x47cc119210c4b289,"[5.0, 5.0, 4.0]","[4.85, 4.85, 4.85]"
0x80c2c177759e5b65:0x7c6bc93c9c6f9bd4,"[5.0, 5.0, 5.0]","[4.93, 4.93, 4.93]"
0x80c2c197ad2a4039:0xa8dbe262495b549,"[5.0, 5.0, 4.0]","[4.9, 4.9, 4.9]"
0x80c2c1af2a89ff19:0x605ebbdb5b7670cb,"[5.0, 5.0, 3.0]","[4.55, 4.55, 4.55]"
0x80c2c355f053e2ad:0x2384bf1778a46b30,"[3.0, 4.0, 5.0]","[4.5, 4.5, 4.5]"
0x80c2c406b6324fa1:0x92c291558bf872e3,"[1.0, 5.0, 5.0]","[3.5, 3.5, 3.5]"
0x80c2c420f8d50b9f:0xd70fe48c60952882,"[5.0, 5.0, 5.0]","[4.68, 4.68, 4.68]"
0x80c2c474bb1119f5:0x9ce809e992db085f,"[5.0, 3.0, 5.0]","[4.72, 4.72, 4.72]"
0x80c2c47a8a94c8a9:0xf12a3b7fa5e7b38b,"[5.0, 5.0, 5.0]","[4.44, 4.44, 4.44]"
0x80c2c5a28d891b1d:0x55697569aac59d43,"[4.0, 4.0, 5.0]","[4.01, 4.01, 4.01]"
0x80c2c5b6eb29c509:0xb73ab5432041b10f,"[4.0, 4.5, 5.0]","[4.82, 4.82, 4.82]"
0x80c2c5d49b17139f:0x1a2f660c63b11058,"[4.67, 5.0, 5.0]","[4.62, 4.62, 4.62]"
0x80c2c5d991b623eb:0x7b6aa6d94fa29ec6,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2c5da03451515:0xdceaa9cdd08fa148,"[3.0, 1.0, 5.0]","[3.4, 3.4, 3.4]"
0x80c2c5df7decdb29:0xad464b377bd123f7,"[4.0, 5.0, 4.5]","[4.82, 4.82, 4.82]"
0x80c2c5e677d98c67:0x9265b3043a2bd2bf,"[3.5, 5.0, 4.5]","[4.8, 4.8, 4.8]"
0x80c2c6041da66213:0x6c2555e06b701f9f,"[5.0, 5.0, 4.33]","[4.58, 4.58, 4.58]"
0x80c2c6066d20ce81:0x959fbdd84cac6a84,"[5.0, 5.0, 5.0]","[3.84, 3.84, 3.84]"
0x80c2c608720356c9:0x6e212ef449082e8f,"[5.0, 5.0, 1.0]","[4.03, 4.03, 4.03]"
0x80c2c60aa700229d:0xd64a0320051f3c38,"[5.0, 4.0, 5.0]","[4.78, 4.78, 4.78]"
0x80c2c611faa6e019:0x2e6ef59298a63c1a,"[4.33, 5.0, 5.0]","[4.82, 4.82, 4.82]"
0x80c2c6218519d975:0x953a36de26abf1df,"[5.0, 5.0, 5.0]","[4.93, 4.93, 4.93]"
0x80c2c62301e66d11:0x893b1f034744cee1,"[5.0, 5.0, 4.5]","[4.89, 4.89, 4.89]"
0x80c2c62d3114804d:0xcb04c07e4e74cfe8,"[4.0, 3.0, 5.0]","[3.14, 3.14, 3.14]"
0x80c2c63305978ef1:0xbda68ac41ce00f4d,"[3.17, 5.0, 4.0]","[4.75, 4.75, 4.75]"
0x80c2c634b8ee14d3:0x439d331cd470d5af,"[5.0, 4.67, 5.0]","[4.97, 4.97, 4.97]"
0x80c2c634fda5d705:0x23b2ac1d0af2d755,"[5.0, 2.0, 5.0]","[2.67, 2.67, 2.67]"
0x80c2c6355bc6aa55:0xd1b733e172cfbd8b,"[5.0, 5.0, 5.0]","[4.81, 4.81, 4.81]"
0x80c2c63b8f37d93f:0x52e86b6b89f599b5,"[4.0, 5.0, 5.0]","[3.96, 3.96, 3.96]"
0x80c2c63ec6a474fb:0x5d7975e0a79bc65a,"[5.0, 5.0, 4.67]","[4.77, 4.77, 4.77]"
0x80c2c644d669d0f5:0x2b2f8f397994e8f0,"[4.0, 3.33, 2.0]","[3.86, 3.86, 3.86]"
0x80c2c645f6fd40ad:0xeb6cb58d794bbf2a,"[4.0, 5.0, 4.0]","[3.4, 3.4, 3.4]"
0x80c2c64824336405:0x75e6b56fc8360ae1,"[5.0, 1.0, 1.0]","[3.94, 3.94, 3.94]"
0x80c2c648ff18e859:0x5da783cbd8307cc9,"[4.0, 4.0, 5.0]","[4.78, 4.78, 4.78]"
0x80c2c6493e0f5ee9:0x847dd76ea11422dd,"[3.0, 3.67, 5.0]","[4.61, 4.61, 4.61]"
0x80c2c64a8f0f8961:0x80ee7d4677a66c3f,"[4.0, 3.0, 3.0]","[4.15, 4.15, 4.15]"
0x80c2c64af5c25319:0xbe023bd1f6425296,"[3.0, 4.0, 4.0]","[3.97, 3.97, 3.97]"
0x80c2c65694c5e437:0xd3fa7fb4fabd87e1,"[5.0, 5.0, 5.0]","[4.93, 4.93, 4.93]"
0x80c2c6572d4b9673:0x210ae0402114f5cf,"[4.4, 5.0, 5.0]","[4.91, 4.91, 4.91]"
0x80c2c65a13b33473:0xe1df1961b668c26f,"[4.0, 4.67, 5.0]","[4.49, 4.49, 4.49]"
0x80c2c65ac6940629:0xa52ea1fd5e903ab0,"[2.67, 5.0, 4.0]","[4.58, 4.58, 4.58]"
