address,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,Hours_day,Hours_night,fecha,general_category,res_asian,res_latin,res_euro,res_fast,res_vegan,religion,recreation,bienestar,avg_rating_correction
"Gourmet LA Bakery, 548 S Broadway, Los Angeles, CA 90013",0x80c2c64ac7ab519f:0x5b9f4740e032770,34.0468713,-118.2515765,"['Bakery', 'Cafe', 'Coffee shop', 'Takeout Restaurant', 'Sandwich shop', 'Wedding bakery']",4.4,247,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Domino's Pizza, 1381 Sunset Blvd Ste B, Los Angeles, CA 90026",0x80c2c6fd747494fb:0x3b6cf4c08a479e63,34.0735284,-118.2511872,"['Pizza delivery', 'Delivery Restaurant', 'Takeout Restaurant', 'Pizza restaurant', 'Pizza Takeout']",4.1,228,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Z Pasta Bar, 11419 Santa Monica Blvd, Los Angeles, CA 90025",0x80c2a4d1703ba09f:0xd45bf5febefc9a53,34.0458929,-118.4515097,"['Restaurant', 'Italian restaurant']",3.9,58,0,0,2024-07-18,Food,0,0,1,0,0,0,0,0,
"Pamore Pizza, 3340 S La Cienega Blvd, Los Angeles, CA 90016",0x80c2b998361ee819:0x6776f0c944720a6e,34.0267973,-118.3717066,['Pizza restaurant'],3.7,53,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"CRUX CLIMB, 4441 Sunset Blvd # F, Los Angeles, CA 90027",0x80c2c7251b4ce279:0xf007c64b0548c838,34.0978558,-118.2861083,"['Fitness center', 'Gym']",4.0,4,0,0,2024-07-18,Sports,0,0,0,0,0,0,0,1,
"Masjid Omar ibn Al-Khattab, 1025 W Exposition Blvd, Los Angeles, CA 90007",0x80c2c7fc3e0b32d9:0xeb0f7c455b10071c,34.018601499999995,-118.2924473,"['Mosque', 'Tourist attraction']",4.7,248,0,0,2024-07-18,Religion,0,0,0,0,0,5,0,0,
"Saint Cecilia Catholic Church, 4230 Normandie Ave, Los Angeles, CA 90037",0x80c2b7fdf1cf34f5:0x40e1d348703ed573,34.0063817,-118.2999827,"['Catholic church', 'Church', 'Parish', 'Place of worship']",4.7,221,0,0,2024-07-18,Religion,0,0,0,0,0,2,0,0,
"Subway, 1810 W Slauson Ave Unit D, Los Angeles, CA 90047",0x80c2b7dd3b8725dd:0xef5251991339c444,33.98809,-118.309951,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']",4.0,188,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Paseo El Dorado, 254 W Florence Ave, Los Angeles, CA 90003",0x80c2c9ca5eca1ba9:0xa2d42e7fc8c6eb17,33.9745267,-118.2778795,['Salvadoran restaurant'],4.5,58,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
"Papa's Chicken, 3003 W Olympic Blvd #103, Los Angeles, CA 90006",0x80c2b87fe9830229:0x265ec79e9410f38e,34.052912899999995,-118.3006659,['Chicken restaurant'],4.6,86,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Louisiana Fried Chicken, 10306 Wilmington Ave, Los Angeles, CA 90002",0x80c2cbd9a5a636d5:0xfa5eead2cbb75d95,33.9428667,-118.2387911,"['Chicken restaurant', 'Diner', 'Restaurant']",4.0,198,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"El Carmen, 8138 W 3rd St, Los Angeles, CA 90048",0x80c2b9367ac9238f:0x798044c9ea630c78,34.0721024,-118.367271,"['Bar', 'Mexican restaurant', 'Taco restaurant']",4.5,278,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
"The Camp Transformation Center - Los Angeles Mid Cities, 6091 W Pico Blvd, Los Angeles, CA 90035",0x80c2b96bb40442cb:0x6823edc3b063298e,34.0531028,-118.3736185,['Gym'],4.6,18,0,0,2024-07-18,Sports,0,0,0,0,0,0,0,1,
"HIGHLAND KITCHEN, 6889 N Figueroa St, Los Angeles, CA 90042",0x80c2c3f4122c1baf:0x11a3631e70cfe6b5,34.1272014,-118.1872205,"['Mexican restaurant', 'Grocery store']",4.0,58,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
"Joe's Auto Parks Parking, 1302 W Pico Blvd, Los Angeles, CA 90015",0x80c2c7be50c1cb9f:0x8308b923f3681b4f,34.0429142,-118.2734184,['Parking lot'],3.9,8,0,0,2024-07-18,Auto,0,0,0,0,0,0,0,1,
"El Dorado Express, 5144 E Beverly Blvd, Los Angeles, CA 90022",0x80c2cf97462905f3:0x16aaed28d4a5f67f,34.0324653,-118.1545369,['Mexican restaurant'],4.6,68,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
"Nariya Thai Cuisine, 6099 Sunset Blvd, Los Angeles, CA 90028",0x80c2bf48230f5dbb:0x5536f90314eb40ab,34.098476999999995,-118.322035,"['Thai restaurant', 'Asian restaurant', 'Bar', 'Live music venue', 'Southeast Asian restaurant']",3.8,38,0,0,2024-07-18,Food,1,0,0,0,0,0,1,0,
"Tumby's Pizza, 1059 S Alvarado St, Los Angeles, CA 90006",0x80c2c7999cb4c54f:0xd8367377727e0a3f,34.0506627,-118.2811629,"['Pizza restaurant', 'Pizza delivery', 'Restaurant']",4.2,198,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Dr. Robbin, 3000 W 6th St, Los Angeles, CA 90020",0x80c2c7709f5ee75b:0xd7a1f642126c56a0,34.0634993,-118.2873844,"['Asian fusion restaurant', 'Coffee shop', 'Korean restaurant']",4.3,178,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Chick-fil-A, 10250 Santa Monica Blvd Ste FC4, Los Angeles, CA 90067",0x80c2bb8c5e740d4d:0x5f2f9e6513abce99,34.0578939,-118.4197922,"['Fast food restaurant', 'Breakfast restaurant', 'Caterer', 'Chicken restaurant', 'Delivery service', 'Family restaurant']",4.1,152,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Subway, 1270 S La Cienega Blvd, Los Angeles, CA 90035",0x80c2b9698e0eff11:0x188b43c3904618d6,34.0536889,-118.3759649,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']",4.0,217,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Subway, 5353 Wilshire Blvd, Los Angeles, CA 90035",0x80c2b8e00fcf2be7:0x18daa320e240179,34.0624524,-118.3455999,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']",4.1,54,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Las Tres Rosas, 925 E Vernon Ave, Los Angeles, CA 90011",0x80c2c86738580e63:0x6fb98bb4a973a7ff,34.0040619,-118.2594297,['Mexican restaurant'],4.0,18,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
"Athena Parking, 137 S Hill St, Los Angeles, CA 90012",0x80c2c64c30f3d461:0xb92ea0a7b55dc5ae,34.0538745,-118.248565,['Parking lot'],2.0,1,0,0,2024-07-18,Auto,0,0,0,0,0,0,0,1,
"90 West Lounge, 12740 Culver Blvd, Los Angeles, CA 90066",0x80c2ba76e0969ee9:0x153784f30c3b681e,33.9852573,-118.4246851,"['Bar', 'Cocktail bar', 'Lounge', 'Pub', 'Sports bar']",4.5,224,0,0,2024-07-18,Food,0,0,0,0,0,0,2,0,
"RxAll Pharmacy, 1125 S Beverly Dr Ste 100, Los Angeles, CA 90035",0x80c2bbe45967b25d:0x86c2d1f54588571e,34.0568496,-118.3969356,['Pharmacy'],4.7,13,0,0,2024-07-18,Health,0,0,0,0,0,0,0,1,
"Subway, 5001 Wilshire Blvd Suite 109, Los Angeles, CA 90036",0x80c2b8e723a41c5f:0x40fd24a8b4bcc62,34.0626268,-118.3392836,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']",3.7,48,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Echigo, 12217 Santa Monica Blvd Ste201, Los Angeles, CA 90025",0x80c2bb4244dbb7b3:0xbb42f356e0946401,34.0400223,-118.4649298,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant', 'Sushi takeaway']",4.5,108,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Mitsuru Cafe, 117 Japanese Village Plaza Mall, Los Angeles, CA 90012",0x80c2c647f196aa51:0x699acd14bd149ead,34.048989299999995,-118.2400745,['Japanese restaurant'],4.6,74,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"CorePower Yoga, 7080 Hollywood Blvd Suite 200, Los Angeles, CA 90028",0x80c2bf20f1fbeb2d:0x2f20e08767d4070a,34.1011088,-118.344399,"['Yoga studio', 'Fitness center', 'Gym', 'Training centre']",4.6,44,0,0,2024-07-18,Sports,0,0,0,0,0,0,0,1,
"Pret A Manger, 1 World Way, Los Angeles, CA 90045",0x80c2b1b88c92b57f:0xd08d4faa17c801ed,33.9436059,-118.4093731,"['Sandwich shop', 'Caterer', 'Coffee shop', 'Restaurant']",4.8,15,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Freddy Smalls Bar and Kitchen, 11520 W Pico Blvd, Los Angeles, CA 90064",0x80c2bb09826dfbf1:0xb8b9a42aa5d4c45d,34.0330811,-118.4424591,"['Bar', 'Italian restaurant', 'Restaurant']",4.2,58,0,0,2024-07-18,Food,0,0,1,0,0,0,0,0,
"Leslie N Shaw Park, 2223 W Jefferson Blvd, Los Angeles, CA 90018",0x80c2b81455142309:0x1748952d516378de,34.0257896,-118.3196995,"['Park', 'Tourist attraction']",4.2,197,0,0,2024-07-18,Entertainment,0,0,0,0,0,0,0,1,
"Louigi's Italian Kitchen, 1644 Sawtelle Blvd #3149, Los Angeles, CA 90025",0x80c2bb708b3bda85:0x42dbfb0bb86e3fbe,34.0461169,-118.4479258,"['Italian restaurant', 'Takeout Restaurant', 'Pizza delivery']",4.1,73,0,0,2024-07-18,Food,0,0,1,1,0,0,0,0,
"American Cinematheque, 6712 Hollywood Blvd, Los Angeles, CA 90028",0x80c2bf21613f98af:0xc65ffb450e9e1374,34.1009145,-118.3365573,['Movie theater'],4.6,18,0,0,2024-07-18,Entertainment,0,0,0,0,0,0,1,0,
"China Catering Inc, 8250 Beverly Blvd, Los Angeles, CA 90048",0x80c2b94a9fbccd57:0x9d4f540be255847c,34.075855,-118.3697551,"['Catering', 'Chinese restaurant']",4.9,8,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"El Pollo Feliz, 10522 S Vermont Ave, Los Angeles, CA 90044",0x80c2c9fbbad05eb9:0xf832299f13ce23d3,33.9400009,-118.2913377,['Mexican restaurant'],4.3,8,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
"77 Kentucky, 698 Vermont Ave #101, Los Angeles, CA 90005",0x80c2c779722c259d:0xc0b511f376961b1a,34.060204,-118.2914026,"['Korean restaurant', 'Restaurant']",4.3,187,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Mr. Rice, 1010 Broxton Ave, Los Angeles, CA 90024",0x80c2bd0a0e05e049:0xa314fefe3712698d,34.0622226,-118.4466598,"['Restaurant', 'Chinese restaurant', 'Rice restaurant']",4.6,38,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Sound Nightclub, 1642 N Las Palmas Ave, Los Angeles, CA 90028",0x80c2bf249fb73b6d:0xcb41caf2c956ca56,34.101025799999995,-118.3360313,['Night club'],4.1,296,0,0,2024-07-18,Other,0,0,0,0,0,0,2,0,
"Sea Salt Poke, 11301 W Olympic Blvd #106, Los Angeles, CA 90064",0x80c2bb0ad19fbcd9:0x8eccc5270638100f,34.038545,-118.4418463,"['Hawaiian restaurant', 'American restaurant', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant', 'Seafood restaurant', 'Sushi restaurant']",4.4,148,0,0,2024-07-18,Food,1,0,0,1,0,0,0,0,
"The FanaticSalon Theater | Culver City Indie Comedy & Music, 3815 Sawtelle Blvd, Los Angeles, CA 90066",0x80c2ba473a616115:0x4addf9dc1c40b31c,34.011006,-118.419597,['Performing arts theater'],4.8,37,0,0,2024-07-18,Entertainment,0,0,0,0,0,0,1,0,
"1717 N Orange Dr Garage, 1717N N Orange Dr, Los Angeles, CA 90028",0x80c2bf210b972a09:0xa5ca22884532b50b,34.101993799999995,-118.3420513,['Parking lot'],4.6,5,0,0,2024-07-18,Auto,0,0,0,0,0,0,0,1,
"Jersey Mike's Subs, 8985 Venice Blvd #C1-B, Los Angeles, CA 90034",0x80c2bb55238482a7:0xa95f4c52ff486c52,34.027096,-118.393456,"['Sandwich shop', 'Caterer', 'Deli', 'Fast food restaurant', 'Takeout Restaurant']",4.3,84,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Subway, 700 W Imperial Hwy Unit 107, Los Angeles, CA 90044",0x80c2ca1cd20501dd:0x1fc3fde786b8b973,33.93047,-118.2874088,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']",4.1,196,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Amandine Patisserie Cafe, 12225 Wilshire Blvd, Los Angeles, CA 90025",0x80c2bb5ca759401f:0x8812a5e003fe30c8,34.043245,-118.468933,"['Cafe', 'Bakery', 'Breakfast restaurant', 'Brunch restaurant', 'Cake shop', 'Caterer', 'Patisserie', 'Salad shop', 'Sandwich shop']",4.3,248,0,0,2024-07-18,Food,0,0,0,1,1,0,0,0,
"Takao, 11656 San Vicente Blvd, Los Angeles, CA 90049",0x80c2bca0082154db:0xb4f70fa5ab19be44,34.0537043,-118.4639027,"['Japanese restaurant', 'Restaurant', 'Sushi restaurant']",4.5,95,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"The Dragon and Meeple, 3742 Flower St, Los Angeles, CA 90007",0x80c2c90024ec398f:0x5ed51ce9823ca13d,34.0166317,-118.2818073,"['Amusement center', 'Bar', 'Pub', 'Restaurant']",4.8,128,0,0,2024-07-18,Food,0,0,0,0,0,0,2,0,
"Sushi by chambada, 201 N Western Ave, Los Angeles, CA 90004",0x80c2b99aaa97ff25:0x478b972b020409ac,34.0747605,-118.3095963,['Sushi restaurant'],4.0,87,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Singapore's Banana Leaf, 6333 W 3rd St #122, Los Angeles, CA 90036",0x80c2b9305a1a8653:0x7d8bd8578f6f7d46,34.0717905,-118.3602958,"['Singaporean restaurant', 'Indonesian restaurant', 'Malaysian restaurant', 'Restaurant', 'Vegetarian restaurant']",4.3,253,0,0,2024-07-18,Food,0,0,0,0,1,0,0,0,
"Trejo's Tacos - Farmers Market, 6333 W 3rd St #322, Los Angeles, CA 90036",0x80c2b9987dee03f3:0x9c01b6a67f6e670b,34.0720934,-118.3604842,['Mexican restaurant'],3.6,88,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
"LALA'S Argentine Grill, 105 W 9th St, Los Angeles, CA 90015",0x80c2c78259f878ab:0x9fb3ee94b8dbb257,34.0418713,-118.255055,"['Argentinian restaurant', 'Steak house']",4.5,186,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
"First New Christian Fellowship Baptist Church, 1555 W 108th St, Los Angeles, CA 90047",0x80c2b60365e0fa29:0x4e0afd46530a69e4,33.938496,-118.3042537,['Baptist church'],4.7,18,0,0,2024-07-18,Religion,0,0,0,0,0,1,0,0,
"Subway, 7011-7021 Hollywood Blvd #205, Los Angeles, CA 90028",0x80c2bf3b9a4ca16b:0x51ace1c7f9f389a3,34.1020229,-118.3428014,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']",3.8,114,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Wild Card Boxing, 1123 Vine St # 14, Los Angeles, CA 90038",0x80c2bf344271226b:0x13259eee126ee7a4,34.0915087,-118.327339,"['Boxing gym', 'Gym']",4.6,98,0,0,2024-07-18,Sports,0,0,0,0,0,0,0,1,
"Marvin, 8114 Beverly Blvd, Los Angeles, CA 90048",0x80c2b934fdb7079f:0xf21df432c671ed54,34.0759225,-118.3664799,"['French restaurant', 'Beer store', 'Restaurant', 'Wine bar']",4.5,127,0,0,2024-07-18,Food,0,0,1,0,0,0,0,0,
"Kopan Ramen, 621 S Western Ave #208, Los Angeles, CA 90005",0x80c2b89abe6ea499:0x421873b5886c386c,34.0630297,-118.3101502,"['Japanese restaurant', 'Restaurant']",4.2,73,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Tocaya Organica, 801 S Olive St B, Los Angeles, CA 90014",0x80c2c7512a8d16cd:0xcc5a6521001e82b2,34.0449961,-118.2573295,"['Mexican restaurant', 'Caterer', 'Health food restaurant', 'Restaurant', 'Vegan restaurant']",4.2,226,0,0,2024-07-18,Health,0,1,0,0,1,0,0,0,
"388 S Hill Street, 338 S Hill St, Los Angeles, CA 90013",0x80c2c64b82ece3e1:0xae19ab28e79d621a,34.0504147,-118.2497944,['Parking lot'],4.2,38,0,0,2024-07-18,Auto,0,0,0,0,0,0,0,1,
"Bellevue Recreation Center, 826 Lucile Ave, Los Angeles, CA 90026",0x80c2c7441d8a18fd:0x7557bd56bf073ee8,34.0841002,-118.2828496,"['Recreation center', 'Park']",4.5,488,0,0,2024-07-18,Entertainment,0,0,0,0,0,0,0,1,
"Locali, 5825 Franklin Ave, Los Angeles, CA 90028",0x80c2bf441b444cb1:0xaaa1c6d2c0f71326,34.105551,-118.316553,"['Sandwich shop', 'Health food restaurant', 'Health food store', 'Delivery Restaurant', 'Salad shop', 'Vegan restaurant', 'Vegetarian restaurant']",4.3,178,0,0,2024-07-18,Health,0,0,0,1,1,0,0,0,
"Sweetfin, 135 N Larchmont Blvd, Los Angeles, CA 90004",0x80c2b8c748c19d69:0xb3e378aa2b056513,34.0740506,-118.3238649,"['Sushi restaurant', 'Caterer', 'Gluten-free restaurant', 'Hawaiian restaurant', 'Seafood restaurant']",4.1,117,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Poke Express By Honda-Ya, 316 E 2nd St, Los Angeles, CA 90012",0x80c2c6480f17fc41:0xf00901b5c4c1bb8b,34.048777,-118.241425,"['Japanese restaurant', 'Restaurant']",4.3,48,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Ratio Cycling, 1306 N Wilton Pl, Los Angeles, CA 90028",0x80c2bf55c092b243:0xe61d49d1f70efe44,34.0950004,-118.3134882,"['Fitness center', 'Indoor cycling', 'Personal trainer']",4.9,18,0,0,2024-07-18,Sports,0,0,0,0,0,0,0,1,
"Atwater Village Branch Library, 3379 Glendale Blvd, Los Angeles, CA 90039",0x80c2c0dbfa53547d:0x17e6fbd4554521f0,34.1200765,-118.2591612,['Public library'],4.4,14,0,0,2024-07-18,Food,0,0,0,0,0,0,1,0,
"Concentra Urgent Care, 1313 W 8th St Suite 100, Los Angeles, CA 90017",0x80c2c7bb4ff8986f:0x2f6ae9ddf0d42ee9,34.0506771,-118.2695201,"['Occupational health service', 'Medical clinic', 'Physical therapist', 'Urgent care center']",3.5,418,0,0,2024-07-18,Auto,0,0,0,0,0,0,0,1,
"Oishi Teriyaki, 1830 W 8th St B, Los Angeles, CA 90057",0x80c2c7a27259a639:0xbd8b00242c57dc6e,34.0534469,-118.2754082,"['Japanese restaurant', 'Asian restaurant']",4.4,88,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"PRMO'S ANTOJITOS MEXICANOS, 2235 E 1st St, Los Angeles, CA 90033",0x80c2c6060f244b5d:0xba79c65be0d3ec63,34.0446106,-118.2113576,['Mexican restaurant'],4.8,76,0,0,2024-07-18,Food,0,1,0,0,0,0,0,0,
"Pollo Mundial, 800 S Alvarado St, Los Angeles, CA 90057",0x80c2c798cb3c3c05:0x53df87852638dfc8,34.0545268,-118.2774869,"['Delivery Restaurant', 'Chicken restaurant', 'Mexican restaurant']",4.2,65,0,0,2024-07-18,Food,0,1,0,1,0,0,0,0,
"Secret Garden, 1925 W Olympic Blvd, Los Angeles, CA 90006",0x80c2c79850acba0b:0x6d4492c188d75810,34.0513813,-118.2782023,"['Korean restaurant', 'Buffet restaurant', 'Restaurant']",3.7,15,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Chinese Fast Food, 2040 S Central Ave, Los Angeles, CA 90011",0x80c2c88065e1c96f:0xb6c1a34ee4203b0a,34.0230028,-118.2515707,['Chinese restaurant'],4.4,48,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"First New Christian Fellowship Baptist Church, 1555 W 108th St, Los Angeles, CA 90047",0x80c2b60365e0fa29:0x4e0afd46530a69e4,33.938496,-118.3042537,['Baptist church'],4.7,18,0,0,2024-07-18,Religion,0,0,0,0,0,1,0,0,
"Subway, 7011-7021 Hollywood Blvd #205, Los Angeles, CA 90028",0x80c2bf3b9a4ca16b:0x51ace1c7f9f389a3,34.1020229,-118.3428014,"['Sandwich shop', 'Caterer', 'Fast food restaurant', 'Takeout Restaurant', 'Restaurant']",3.8,114,0,0,2024-07-18,Food,0,0,0,1,0,0,0,0,
"Wild Card Boxing, 1123 Vine St # 14, Los Angeles, CA 90038",0x80c2bf344271226b:0x13259eee126ee7a4,34.0915087,-118.327339,"['Boxing gym', 'Gym']",4.6,98,0,0,2024-07-18,Sports,0,0,0,0,0,0,0,1,
"Marvin, 8114 Beverly Blvd, Los Angeles, CA 90048",0x80c2b934fdb7079f:0xf21df432c671ed54,34.0759225,-118.3664799,"['French restaurant', 'Beer store', 'Restaurant', 'Wine bar']",4.5,127,0,0,2024-07-18,Food,0,0,1,0,0,0,0,0,
"Kopan Ramen, 621 S Western Ave #208, Los Angeles, CA 90005",0x80c2b89abe6ea499:0x421873b5886c386c,34.0630297,-118.3101502,"['Japanese restaurant', 'Restaurant']",4.2,73,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Tocaya Organica, 801 S Olive St B, Los Angeles, CA 90014",0x80c2c7512a8d16cd:0xcc5a6521001e82b2,34.0449961,-118.2573295,"['Mexican restaurant', 'Caterer', 'Health food restaurant', 'Restaurant', 'Vegan restaurant']",4.2,226,0,0,2024-07-18,Health,0,1,0,0,1,0,0,0,
"388 S Hill Street, 338 S Hill St, Los Angeles, CA 90013",0x80c2c64b82ece3e1:0xae19ab28e79d621a,34.0504147,-118.2497944,['Parking lot'],4.2,38,0,0,2024-07-18,Auto,0,0,0,0,0,0,0,1,
"Bellevue Recreation Center, 826 Lucile Ave, Los Angeles, CA 90026",0x80c2c7441d8a18fd:0x7557bd56bf073ee8,34.0841002,-118.2828496,"['Recreation center', 'Park']",4.5,488,0,0,2024-07-18,Entertainment,0,0,0,0,0,0,0,1,
"Locali, 5825 Franklin Ave, Los Angeles, CA 90028",0x80c2bf441b444cb1:0xaaa1c6d2c0f71326,34.105551,-118.316553,"['Sandwich shop', 'Health food restaurant', 'Health food store', 'Delivery Restaurant', 'Salad shop', 'Vegan restaurant', 'Vegetarian restaurant']",4.3,178,0,0,2024-07-18,Health,0,0,0,1,1,0,0,0,
"Sweetfin, 135 N Larchmont Blvd, Los Angeles, CA 90004",0x80c2b8c748c19d69:0xb3e378aa2b056513,34.0740506,-118.3238649,"['Sushi restaurant', 'Caterer', 'Gluten-free restaurant', 'Hawaiian restaurant', 'Seafood restaurant']",4.1,117,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Poke Express By Honda-Ya, 316 E 2nd St, Los Angeles, CA 90012",0x80c2c6480f17fc41:0xf00901b5c4c1bb8b,34.048777,-118.241425,"['Japanese restaurant', 'Restaurant']",4.3,48,0,0,2024-07-18,Food,1,0,0,0,0,0,0,0,
"Ratio Cycling, 1306 N Wilton Pl, Los Angeles, CA 90028",0x80c2bf55c092b243:0xe61d49d1f70efe44,34.0950004,-118.3134882,"['Fitness center', 'Indoor cycling', 'Personal trainer']",4.9,18,0,0,2024-07-18,Sports,0,0,0,0,0,0,0,1,
"Atwater Village Branch Library, 3379 Glendale Blvd, Los Angeles, CA 90039",0x80c2c0dbfa53547d:0x17e6fbd4554521f0,34.1200765,-118.2591612,['Public library'],4.4,14,0,0,2024-07-18,Food,0,0,0,0,0,0,1,0,
"Concentra Urgent Care, 1313 W 8th St Suite 100, Los Angeles, CA 90017",0x80c2c7bb4ff8986f:0x2f6ae9ddf0d42ee9,34.0506771,-118.2695201,"['Occupational health service', 'Medical clinic', 'Physical therapist', 'Urgent care center']",3.5,418,0,0,2024-07-18,Auto,0,0,0,0,0,0,0,1,
