address,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,Hours_day,Hours_night,general_category,res_asian,res_latin,res_euro,res_fast,res_vegan,religion,recreation,bienestar,avg_rating_correction,Subcategoria
"Kawaba Rice Ball, 7368 Melrose Ave, Los Angeles, CA 90046",0x80c2bed4c0875335:0x88562e8d30e3d33d,34.0833736,-118.3505281,['Japanese restaurant' 'Deli' 'Fast food restaurant' 'Restaurant'],4.2,18,35,0,Food,1,0,0,1,0,0,0,0,4.260869565217392,Comida asiática
"L.A. Farmacia Natural, 1412 Vermont Ave, Los Angeles, CA 90006",0x80c2c78f7d79ef43:0x597f758cb18e0dfe,34.0459034,-118.2911943,"['Natural goods store' 'Health food store' 'Pharmacy'
 'Vitamin & supplements store']",4.4,66,56,0,Health,0,0,0,0,0,0,0,1,4.311475409836065,Bienestar general
"Olympia Medical Center, 5900 W Olympic Blvd, Los Angeles, CA 90036",0x80c2b917ac2ed461:0xe7f98bef8fafed92,34.0571449,-118.3602519,['Hospital'],3.3,93,0,0,Health,0,0,0,0,0,0,0,1,3.907407407407408,Bienestar general
"Maru, 12400 Wilshire Blvd #150, Los Angeles, CA 90025",0x80c2bb5b4d293093:0x6f532d1e26b59ee5,34.041901,-118.4697609,"['Sushi restaurant' 'Asian fusion restaurant' 'Californian restaurant'
 'French restaurant' 'Japanese restaurant' 'New American restaurant'
 'Restaurant']",4.6,8,0,0,Food,1,0,1,1,0,0,0,0,,Comida asiática
"Hanmaeum Restaurant, 100 W 17th St Ste 25, Los Angeles, CA 90015",0x80c2c7cfe66b66bd:0x8b8b626636463136,34.0329224,-118.2635743,['Thai restaurant'],5.0,3,42,0,Food,1,0,0,0,0,0,0,0,,Comida asiática
"Danny Boy's Famous Original Pizza, 330 S Hope St, Los Angeles, CA 90071",0x80c2c7d5279490eb:0x4374ad061c2c67de,34.0529142,-118.252486,['Pizza restaurant'],5.0,7,30,0,Food,0,0,0,1,0,0,0,0,,Comida americana
"Cemitas, 9099 Venice Blvd., Los Angeles, CA 90034",0x80c2ba2a752f70f5:0x6a9269b538b6c380,34.0268173,-118.3931825,['Mexican restaurant'],4.6,5,54,0,Food,0,1,0,0,0,0,0,0,4.428571428571429,Comida latina
"Blank Theatre Co, 6500 CA-2, Los Angeles, CA 90038",0x80c2c7467a01611d:0x31184ac4519937f,34.0906245,-118.3311414,['Performing arts theater'],4.5,18,0,0,Entertainment,0,0,0,0,0,0,1,0,4.72,Arte
"Robertson Branch Library, 1719 S Robertson Blvd, Los Angeles, CA 90035",0x80c2b966a3219e69:0x59511de4424b95db,34.048346599999995,-118.3858612,['Public library'],4.4,33,28,0,Food,0,0,0,0,0,0,1,0,4.620689655172414,Arte
"$15 Parking, 1670 N Sycamore Ave, Los Angeles, CA 90028",0x80c2bfb1c9cd4953:0xbc9cdbe878e36365,34.1010408,-118.3429814,['Parking garage'],2.8,4,0,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"Natural Pilates - Silver Lake, 2894 Rowena Ave, Los Angeles, CA 90039",0x80c2c0cc29d3a171:0xb01396130d8c25eb,34.1078776,-118.2678358,"['Pilates studio' 'Gym' 'Personal trainer' 'Physical fitness program'
 'Womens personal trainer']",4.8,18,72,11,Sports,0,0,0,0,0,0,0,1,,Bienestar general
"wendy's taqueria, 1834 James M Wood Blvd, Los Angeles, CA 90006",0x80c2c75f91cd278d:0xd0c273e9bc793542,34.0522135,-118.2764878,['Mexican restaurant'],4.8,14,61,1,Food,0,1,0,0,0,0,0,0,,Comida latina
"John's Pizza, 8833 W Pico Blvd, Los Angeles, CA 90035",0x80c2b87c8566e387:0x37ecae89475f4455,34.055071,-118.384297,"['Pizza delivery' 'American restaurant' 'Chicken restaurant'
 'Delivery Restaurant' 'Takeout Restaurant' 'Pizza restaurant'
 'Pizza Takeout' 'Sandwich shop']",3.3,15,35,42,Food,0,0,0,1,0,0,0,0,,Comida americana
"Unique Flavor Juice & Sweet Treats, 706 W Florence Ave, Los Angeles, CA 90044",0x80c2c9cd4741668f:0xbe4497e0df3c1a3f,33.974424,-118.286352,['Hot dog stand'],4.7,8,60,0,Other,0,0,0,1,0,0,0,0,,Comida americana
"Tacos el Vecino, 6628 S Vermont Ave, Los Angeles, CA 90044",0x80c2c9fc035e4c95:0xc58b82d7da1f9b64,33.978377,-118.2912146,['Taco restaurant'],5.0,3,0,0,Food,0,1,0,0,0,0,0,0,,Comida latina
"Brownstone Pizzeria, 2108 Colorado Blvd, Los Angeles, CA 90041",0x80c2c16730ad02c5:0x624fdb32bffc706d,34.138897,-118.212434,['Pizza restaurant' 'Italian restaurant'],3.9,8,60,0,Food,0,0,1,1,0,0,0,0,,Comida europea
"Salata, 505 Flower St #B430, Los Angeles, CA 90071",0x80c2c7b3b03af0f3:0xae620d1f51b14c0b,34.0514702,-118.2564231,['Restaurant' 'Takeout Restaurant' 'Salad shop' 'Soup restaurant'],3.8,34,16,0,Food,0,0,0,1,1,0,0,0,3.3529411764705883,Comida vegana
"Farmacia San Martin, 1554 W Adams Blvd, Los Angeles, CA 90007",0x80c2c7f4e3d81dd7:0x7a0e2625a7b8ffce,34.0323829,-118.2964401,['Pharmacy'],4.3,8,50,0,Health,0,0,0,0,0,0,0,1,,Bienestar general
"La Papa Loca, 1210 E Olympic Blvd, Los Angeles, CA 90021",0x80c2c62e938d4ad7:0x10113c7633cb19d2,34.0331421,-118.2457837,['Mexican restaurant'],4.2,35,63,0,Food,0,1,0,0,0,0,0,0,3.966666666666667,Comida latina
"Los Angeles Family Medical Clinic, 3410 Whittier Blvd, Los Angeles, CA 90023",0x80c2cf520778b827:0x1e14db46d6071473,34.0274371,-118.2006417,['Medical clinic' 'Doctor'],4.2,13,44,0,Health,0,0,0,0,0,0,0,1,,Bienestar general
"Drenched360 & Evolution180 - Personal Training, 12811 Coral Tree Pl, Los Angeles, CA 90066",0x80c2b09ebf78d3c3:0xf97ff34f3f67073,33.9788447,-118.421071,"['Personal trainer' 'Gym' 'Physical fitness program' 'Weight loss service'
 'Wellness center']",4.1,7,77,17,Services,0,0,0,0,0,0,0,1,,Bienestar general
"Kinetic Studio, 3701 W 54th St #2306, Los Angeles, CA 90043",0x80c2b784d3a9f78d:0x1d9c9b22fec82a88,33.993347,-118.337953,['Gym'],4.8,18,0,0,Sports,0,0,0,0,0,0,0,1,4.75,Bienestar general
"Star Night, 3855 Wilshire Blvd, Los Angeles, CA 90010",0x80c2b9518dc4f7e7:0xdfbf945567a04fe2,34.0619887,-118.3108337,"['Korean restaurant' 'Asian restaurant' 'Bar' 'Beer garden'
 'Dinner theater' 'Lounge']",4.1,118,63,28,Home,1,0,0,0,0,0,0,0,4.206349206349207,Comida asiática
"Weiland Brewery Restaurant, 400 E 1st St, Los Angeles, CA 90012",0x80c2c6478dfd556b:0x9ec88089dd5858c5,34.0490375,-118.2387316,['American restaurant'],3.8,5,98,28,Food,0,0,0,1,0,0,0,0,,Comida americana
"Los Angeles County Bar Association (LACBA), 1055 W 7th St #2700, Los Angeles, CA 90017",0x80c2c7b066976ccd:0xcfb2f80d5902af25,34.0508369,-118.263032,"['Lawyers association' 'Attorney referral service'
 'Criminal justice attorney' 'Divorce lawyer' 'Education center'
 'Attorney' 'News service' 'Publisher']",3.5,8,45,0,Food,0,0,0,0,0,0,2,0,,Club nocturno
"Panamerican Night Club (Oficial), 2601 W Temple St, Los Angeles, CA 90026",0x80c2c712dc6c3aa1:0xd01bff4a6fb3492a,34.0726952,-118.2749667,['Night club' 'Bar' 'Restaurant'],4.0,98,30,24,Food,0,0,0,0,0,0,2,0,4.086956521739131,Club nocturno
"Sushi Masu, 1911 Westwood Blvd, Los Angeles, CA 90025",0x80c2bb9c60b71fd5:0x257df43021838bbe,34.0477539,-118.4353355,"['Sushi restaurant' 'Barbecue restaurant' 'Japanese restaurant'
 'Restaurant']",4.3,26,0,0,Food,1,0,0,1,0,0,0,0,4.176470588235294,Comida asiática
"United Valet Parking, 1010 Flower St, Los Angeles, CA 90015",0x80c2c7b7c05c2a47:0x46f6e198b5751d08,34.0438957,-118.2627355,['Parking lot'],2.7,6,0,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"Stewart and Lynda Resnick Neuropsychiatric Hospital at UCLA, 150 Medical Plaza Driveway, Los Angeles, CA 90095",0x80c2bc842105c28b:0x83f105bb86e60f0,34.0652277,-118.4460282,['Hospital' 'Psychiatrist'],3.6,15,0,0,Health,0,0,0,0,0,0,0,1,,Bienestar general
"Century Pharmacy, 11870 Santa Monica Blvd #108, Los Angeles, CA 90025",0x80c2bb69037cd791:0xae80f9c0dbf87a0b,34.0417367,-118.4593706,['Pharmacy'],4.0,4,43,0,Health,0,0,0,0,0,0,0,1,,Bienestar general
"Il Grano, 11359 CA-2, Los Angeles, CA 90025",0x80c2bb7016b5b9f3:0xd654e2fffaad5f4,34.0461319,-118.4507393,['Italian restaurant' 'Restaurant' 'Seafood restaurant'],4.3,8,0,0,Food,0,0,1,0,0,0,0,0,,Comida europea
"501 S Spring St Garage, 501S S Spring St, Los Angeles, CA 90013",0x80c2c64af2c285b9:0xb8f12f71df3fc88,34.0471546,-118.2503421,['Parking lot'],4.0,6,45,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"Gayley Center, 1125 Gayley Ave #3403, Los Angeles, CA 90024",0x80c2bc82230c3d19:0x994fde8a013dfac0,34.0593448,-118.4459863,['Parking garage'],4.5,8,119,42,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"1545 Wilshire Blvd Parking, 632 S Union Ave, Los Angeles, CA 90017",0x80c2c7a405196859:0xfcf036a37f4207ad,34.0558604,-118.2695836,['Parking lot'],5.0,2,0,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"Chavez Guadalupe, 5300 S Broadway, Los Angeles, CA 90037",0x80c2c83f3df0aba3:0xed2bf79813b73da6,33.9940754,-118.2780823,['Mexican restaurant'],4.4,37,0,0,Food,0,1,0,0,0,0,0,0,4.355555555555555,Comida latina
"Playa Medical Clinic/urgent Car, 8320 Lincoln Blvd # 103A, Los Angeles, CA 90045",0x80c2b094b4dba76b:0x2915c6f30cca4350,33.9622596,-118.4209418,['Medical clinic'],1.0,1,0,0,Health,0,0,0,0,0,0,0,1,,Bienestar general
"Nathan's Kosherland, 1636 Westwood Blvd, Los Angeles, CA 90024",0x80c2bb8287a2a2bd:0xb03f41aff062bd42,34.052369,-118.438956,"['Bagel shop' 'Fast food restaurant' 'Takeout Restaurant' 'Pizza delivery'
 'Pizza restaurant' 'Pizza Takeout']",4.2,38,46,12,Food,0,0,0,1,0,0,0,0,4.411764705882353,Comida americana
"Pleasant View Baptist Church, 7524 Compton Ave, Los Angeles, CA 90001",0x80c2c9092ede588b:0xa39199c7dbb77942,33.97183,-118.247348,['Baptist church'],4.8,2,0,0,Religion,0,0,0,0,0,1,0,0,,Protestante
"Iglesia Pentecostal Unida Hispana, 237 W Adams Blvd, Los Angeles, CA 90007",0x80c2c7dc1548a07d:0xcc00ffae1620ba27,34.0262986,-118.2715767,['Pentecostal church'],4.4,8,0,0,Religion,0,0,0,0,0,1,0,0,,Protestante
"Los Angeles Crepes, 10122 Slauson Ave, Los Angeles, CA 90011",0x80c2c84fc6975997:0x69176b0c7d86d5a7,33.9890708,-118.2654998,['Crêperie' 'Fast food restaurant'],4.8,38,0,0,Food,0,0,0,1,0,0,0,0,4.72,Comida americana
"Village Baptist Church, 1521 E 111th St, Los Angeles, CA 90059",0x80c2cbd23d494371:0xd5d91584627ba757,33.9350791,-118.2477612,['Baptist church'],4.8,8,0,0,Religion,0,0,0,0,0,1,0,0,,Protestante
"Restaurant Pollo Al Carbon, 326 E Pico Blvd, Los Angeles, CA 90015",0x80c2c7cdf15e106f:0x16dad5f5d4454c5e,34.034568,-118.257467,['Mexican restaurant' 'Delivery Restaurant'],3.8,36,63,7,Food,0,1,0,0,0,0,0,0,3.941176470588236,Comida latina
"Bicycle Parking, W 8th St, Los Angeles, CA 90017",0x80c2c7b6d4ea6a5d:0xa26cd9524556c076,34.0488479,-118.2625856,['Parking lot for bicycles'],4.7,3,0,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"Natural Pilates - Brentwood, The LUXE Sunset Hotel (Parking Lot, 11461 Sunset Blvd, Los Angeles, CA 90049",0x80c2bcbb7c00472d:0xf5647c0ecd8802e2,34.0728029,-118.4686038,"['Pilates studio' 'Gym' 'Personal trainer' 'Physical fitness program'
 'Womens personal trainer']",4.9,47,61,3,Sports,0,0,0,0,0,0,0,1,,Bienestar general
"Zapotec Cafe, 2310 Whittier Blvd, Los Angeles, CA 90023",0x80c2c602bcfb9327:0xc3e84862d8a2b248,34.034570599999995,-118.2165996,['Cafe' 'Art cafe' 'Coffee shop' 'Health food restaurant' 'Sandwich shop'],4.7,48,65,0,Health,0,0,0,1,0,0,0,0,4.714285714285714,Comida americana
"Xlixe Pizzeria Pies & Pints, 432 E 2nd St, Los Angeles, CA 90012",0x80c2c6385b2bcf07:0x574003166118f6a4,34.046549,-118.2384635,['Pizza restaurant' 'Italian restaurant' 'Restaurant'],3.8,8,59,4,Food,0,0,1,1,0,0,0,0,,Comida europea
"Normandy Pharmacy Inc, 5112 Hollywood Blvd # 104, Los Angeles, CA 90027",0x80c2bf5646827d33:0x9645179a547ca4a2,34.1013361,-118.3011248,['Pharmacy'],5.0,4,49,0,Health,0,0,0,0,0,0,0,1,,Bienestar general
"The Barboza Method, 7611 Sunset Blvd, Los Angeles, CA 90046",0x80c2bedcfa59a0ab:0xec634e0885668488,34.0983437,-118.3554929,['Fitness center' 'Body shaping class'],5.0,16,91,14,Sports,0,0,0,0,0,0,0,1,,Bienestar general
"Tacos El Bronco, 8001 S Central Ave, Los Angeles, CA 90001",0x80c2c9a13eadfc53:0xf9e76291f260bcba,33.966341,-118.256726,['Mexican restaurant' 'Latin American restaurant'],4.2,58,70,0,Food,0,1,0,1,0,0,0,0,4.173913043478261,Comida latina
"Panda Express, 300 World Way, Los Angeles, CA 90045",0x80c2b18ab31e80f1:0x2a32e32079bf5f6c,33.9463079,-118.4072666,['Chinese restaurant' 'Asian restaurant' 'Restaurant'],3.4,16,112,21,Food,1,0,0,0,0,0,0,0,,Comida asiática
"Marco's Pizza, 2215 Westwood Blvd # D, Los Angeles, CA 90064",0x80c2bb98ef95166f:0x132007dcad709cca,34.0432218,-118.4317416,['Pizza delivery' 'Restaurant'],4.3,25,77,2,Food,0,0,0,1,0,0,0,0,4.0,Comida americana
"Burn 60 - Brentwood, 159 S Barrington Pl, Los Angeles, CA 90049",0x80c2bcbb805478c1:0x16b4d7fae028c753,34.065398,-118.469046,['Physical fitness program' 'Gym' 'Personal trainer'],5.0,38,31,17,Sports,0,0,0,0,0,0,0,1,,Bienestar general
"The Capital Grille, 700 W 9th St Unit B, Los Angeles, CA 90015",0x80c2c7a55b28dcf1:0x17dc8000c6fb0be6,34.0460722,-118.2624906,"['Fine dining restaurant' 'American restaurant' 'Chophouse restaurant'
 'Seafood restaurant' 'Steak house' 'Wine bar']",4.6,18,44,0,Food,0,0,0,1,0,0,0,0,4.466666666666667,Comida americana
"Hotel Andaz, 8401 Sunset Blvd, Los Angeles, CA 90069",0x80c2bebe47fe0499:0xc7ec85d35b4e1e75,34.0957033,-118.3732235,['Parking lot'],4.0,2,0,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"106 E Olympic Blvd Parking, 106E W Olympic Blvd, Los Angeles, CA 90015",0x80c2c7cb93019345:0x72ab87e6a677e44c,34.0399873,-118.2565231,['Parking lot'],5.0,1,0,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"El Granjero Cantina, 6333 W 3rd St, Los Angeles, CA 90036",0x80c2b9c0cbecdbd3:0xb1202016bccc3bc0,34.0722423,-118.3597184,['Mexican restaurant'],4.7,8,67,0,Food,0,1,0,0,0,0,0,0,,Comida latina
"UMC Pharmacy, 1201 N Vermont Ave, Los Angeles, CA 90029",0x80c2c753bbf5fd71:0x9f34c231b5acefbe,34.0936053,-118.2919314,['Pharmacy'],4.5,2,28,0,Health,0,0,0,0,0,0,0,1,,Bienestar general
"La Caridad Restaurant, 2619 Sunset Blvd, Los Angeles, CA 90026",0x80c2c70e1414da49:0x8d3a4759cd615d7d,34.0805853,-118.2698419,"['Cuban restaurant' 'Latin American restaurant' 'Restaurant'
 'Spanish restaurant']",4.4,16,81,6,Beauty,0,1,1,1,0,0,0,0,,Comida latina
"The Antidote, 7378 Melrose Ave, Los Angeles, CA 90046",0x80c2bfbec842dd2b:0xfd7a2db8fb21cb09,34.0834429,-118.3508276,['Vitamin & supplements store' 'Pharmacy'],4.9,37,54,0,Health,0,0,0,0,0,0,0,1,,Bienestar general
"Atria West, 10635 CA-2 # 145, Los Angeles, CA 90025",0x80c2bb8511043ad7:0x3f5e00a50702a833,34.0536198,-118.4303836,['Parking garage'],4.6,11,40,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"Community United Presbyterian, 7501 Normandie Ave, Los Angeles, CA 90044",0x80c2b7d54b13cf8d:0xc5485a8d1a898274,33.971966,-118.3008048,['Presbyterian church'],5.0,2,0,0,Religion,0,0,0,0,0,1,0,0,,Protestante
"The LA Hotel Downtown Valet, 333 S Figueroa St, Los Angeles, CA 90071",0x80c2c7ad7f802a45:0x610062b8d9c9c05f,34.0548972,-118.2555755,['Parking lot'],4.4,28,0,0,Auto,0,0,0,0,0,0,0,1,4.75,Bienestar general
"M/BODY By Marnie Alton, 113 N La Brea Ave, Los Angeles, CA 90036",0x80c2b8d78e86f76f:0xa9feed514bb7368a,34.074099,-118.344228,['Fitness center'],4.9,16,28,10,Sports,0,0,0,0,0,0,0,1,,Bienestar general
"Adoteca, 11712 San Vicente Blvd, Los Angeles, CA 90049",0x80c2bca08103eb37:0xb54d715161e14aad,34.0532122,-118.4660251,['Italian restaurant' 'Restaurant'],5.0,2,0,0,Food,0,0,1,0,0,0,0,0,,Comida europea
"Royal Rehearsal, 2609 S Hill St, Los Angeles, CA 90007",0x80c2c7dc181f9011:0xce82a43e41de681c,34.0255706,-118.2712542,"['Music conservatory' 'Music management and promotion' 'Music producer'
 'Musical club' 'Recording studio']",4.9,48,0,0,Other,0,0,0,0,0,0,1,0,,Arte
"Beverly Hills Fencers' Club, 12121 W Pico Blvd, Los Angeles, CA 90064",0x80c2b99061072ed5:0x53f58ae1e4d1455b,34.0293712,-118.4510376,"['Fencing school' 'Fencing salon' 'Gym' 'Non-profit organization'
 'Wellness program']",5.0,8,14,0,Beauty,0,0,0,0,0,0,0,1,,Bienestar general
"Shandrew Public Relations, 1050 S Stanley Ave, Los Angeles, CA 90019",0x80c2b9176899cc51:0x5d6978547af5ccb4,34.0560695,-118.3584385,['Public relations firm'],5.0,2,0,0,Food,0,0,0,0,0,0,2,0,,Club nocturno
"Soto Lot, 2002 N Soto St, Los Angeles, CA 90032",0x80c2c5db076442bf:0xa29f30b44609c35,34.066691299999995,-118.1972855,['Parking lot'],2.3,3,0,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"Sumac Mediterranean Cuisine, 1156 N Highland Ave, Los Angeles, CA 90038",0x80c2bf5138a27911:0xf83dba70439ea2c7,34.09246,-118.3382046,['Mediterranean restaurant'],4.6,33,64,0,Food,0,0,1,0,0,0,0,0,,Comida europea
"Croqué, 615 N Western Ave, Los Angeles, CA 90004",0x80c2b974587c015d:0xb0b5050dc2258de0,34.0822657,-118.3093072,['Sandwich shop'],5.0,8,66,0,Stores,0,0,0,1,0,0,0,0,,Comida americana
"Westside Baptist Church Sbc, 1430 Centinela Ave, Los Angeles, CA 90025",0x80c2bb43da88e7ef:0xcb5e72dee7e115bb,34.0382175,-118.4666891,['Baptist church'],5.0,2,0,0,Religion,0,0,0,0,0,1,0,0,,Protestante
"Ming Wok, 3120 S Sepulveda Blvd, Los Angeles, CA 90034",0x80c2bbb20c1ac9c9:0x11e5b3f884a7d72b,34.0263692,-118.4268991,"['Chinese restaurant' 'Asian restaurant' 'Mandarin restaurant'
 'Restaurant']",3.1,8,66,0,Food,1,0,0,0,0,0,0,0,,Comida asiática
"Shneerson Square, 1175 S Wetherly Dr, Los Angeles, CA 90035",0x80c2b95ef2118f0b:0x71d50a60f139fdd5,34.0554083,-118.3889636,['Park'],4.3,3,98,14,Entertainment,0,0,0,0,0,0,0,1,,Bienestar general
"Gui Il Bunji, 3055 W 7th St suite c, Los Angeles, CA 90005",0x80c2c779a1174d03:0x48e7de66918b8504,34.0601187,-118.2906704,['Korean barbecue restaurant' 'Restaurant'],3.7,8,77,7,Food,1,0,0,0,0,0,0,0,,Comida asiática
"Rambutan Thai, 2835 Sunset Blvd, Los Angeles, CA 90026",0x80c2c73e36499869:0xe085a1d4116449cc,34.0825793,-118.2722744,['Thai restaurant' 'Asian restaurant' 'Southeast Asian restaurant'],3.9,18,0,0,Food,1,0,0,0,0,0,0,0,,Comida asiática
"Codename Burg3r, 615 N Western Ave, Los Angeles, CA 90004",0x80c2b963b2192c4b:0xd7648b8a931dd463,34.0822657,-118.3093072,['American restaurant'],2.8,4,0,0,Food,0,0,0,1,0,0,0,0,,Comida americana
"Zan Beer, 3377 Wilshire Blvd #200, Los Angeles, CA 90010",0x80c2c77d09ed6891:0x4d2c8ed08fff6fe5,34.0619703,-118.2976202,['Sports bar'],3.9,38,54,24,Food,0,0,0,0,0,0,3,0,3.75,Juegos/Deporte
"Frances Blend Elementary School, 5210 Clinton St, Los Angeles, CA 90004",0x80c2b8b0b9f1e077:0x5fc0d5a4e0a39aca,34.0813363,-118.3162212,"['Elementary school' 'Blind school' 'Kindergarten'
 'Public educational institution']",4.7,3,40,0,Food,0,0,0,0,0,0,2,1,,Club nocturno
"Wilshire Baptist Church, 301 N Oxford Ave, Los Angeles, CA 90004",0x80c2b8a3760d9eb5:0x5ffd77093ac64247,34.076603899999995,-118.3083168,['Baptist church'],4.5,3,0,0,Religion,0,0,0,0,0,1,0,0,,Protestante
"Skirball Park/Ride, 2350 Skirball Center Dr, Los Angeles, CA 90001",0x80c2bd51c065686d:0xd5f4643ed0aeab3f,34.123427,-118.4770935,['Park & ride'],3.8,17,0,0,Entertainment,0,0,0,0,0,0,0,1,4.0,Bienestar general
"Tow Away Parking, 660 Mateo St, Los Angeles, CA 90021",0x80c2c62234be9559:0x222b42a6323027a0,34.0359889,-118.2321209,['Parking lot'],3.4,5,0,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"Tacos El Punchis, Los Angeles, CA 90038",0x80c2b9d97a831c6b:0xa8b226b2372530dd,34.0875804,-118.3092281,['Taco restaurant'],5.0,16,66,0,Food,0,1,0,0,0,0,0,0,,Comida latina
"Hospital, 8631 W 3rd St, Los Angeles, CA 90048",0x80c2b94d452fd227:0x7b905ebd128c58f4,34.073947,-118.3804902,['Hospital'],4.5,2,0,0,Health,0,0,0,0,0,0,0,1,,Bienestar general
"Athena Parking, 621 E 12th St, Los Angeles, CA 90015",0x80c2c7d2a177c5bd:0x164577224a41a250,34.0343789,-118.2539376,['Parking lot'],2.0,3,0,0,Auto,0,0,0,0,0,0,0,1,,Bienestar general
"Sung Kwang Presbyterian Church, 1359 W 24th St, Los Angeles, CA 90007",0x80c2c7f2df7f9ed7:0x7b906fb51869028,34.034623,-118.290656,['Presbyterian church' 'Church'],3.8,5,0,0,Religion,0,0,0,0,0,1,0,0,,Protestante
"Hong Kong Express, 2604 S Vermont Ave C, Los Angeles, CA 90007",0x80c2c7f3b9910ced:0xdeeee9d9e47f61aa,34.0311825,-118.2910399,['Asian restaurant'],3.7,24,70,0,Food,1,0,0,0,0,0,0,0,3.7083333333333335,Comida asiática
"Moorish Science Temple, 3123 W Vernon Ave, Los Angeles, CA 90008",0x80c2b78a31600877:0xc7e6614ddfa8aa86,34.0038149,-118.3276715,['Mosque'],3.0,2,0,0,Religion,0,0,0,0,0,5,0,0,,Musulmán
"WaBa Grill, 5527 Hollywood Blvd, Los Angeles, CA 90028",0x80c2bf5011d32123:0xaefbcbe597c7df7d,34.1018751,-118.3102082,"['Asian fusion restaurant' 'Asian restaurant' 'Fast food restaurant'
 'Health food restaurant' 'Rice restaurant']",3.6,16,77,0,Health,1,0,0,1,0,0,0,0,3.375,Comida asiática
"Asahi Ramen, 2027 Sawtelle Blvd, Los Angeles, CA 90025",0x80c2bb74e414c3f5:0xd49c696beefe83d6,34.0402778,-118.4433333,['Ramen restaurant' 'Japanese restaurant'],4.2,58,62,0,Food,1,0,0,0,0,0,0,0,4.317073170731708,Comida asiática
